iter	Passed	Remaining
446	1160	9221
447	1161	9208
448	1168	9242
449	1173	9257
450	1178	9271
451	1180	9267
452	1184	9275
453	1186	9269
454	1189	9266
455	1191	9256
456	1193	9252
457	1196	9252
458	1199	9249
459	1203	9258
460	1206	9259
461	1209	9259
462	1212	9259
463	1215	9260
464	1217	9256
465	1219	9250
466	1222	9251
467	1225	9249
468	1229	9253
469	1231	9249
470	1234	9246
471	1236	9243
472	1239	9242
473	1242	9245
474	1247	9260
475	1250	9256
476	1253	9256
477	1256	9255
478	1258	9253
479	1261	9249
480	1264	9252
481	1268	9255
482	1270	9251
483	1272	9245
484	1275	9245
485	1278	9245
486	1281	9245
487	1284	9243
488	1288	9249
489	1291	9253
490	1295	9256
491	1297	9252
492	1299	9247
493	1303	9250
494	1305	9243
495	1308	9242
496	1311	9243
497	1315	9249
498	1318	9251
499	1320	9245
500	1323	9245
501	1327	9247
502	1329	9242
503	1332	9241
504	1335	9239
505	1337	9236
506	1340	9238
507	1342	9227
508	1344	9224
509	1347	9224
510	1351	9225
511	1354	9225
512	1357	9225
513	1360	9228
514	1363	9226
515	1366	9227
516	1369	9223
517	1372	9226
518	1375	9227
519	1378	9224
520	1380	9220
521	1383	9220
522	1386	9220
523	1389	9216
524	1392	9216
525	1395	9214
526	1398	9214
527	1401	9214
528	1403	9210
529	1406	9207
530	1408	9200
531	1410	9194
532	1413	9193
533	1415	9189
534	1418	9183
535	1420	9179
536	1421	9170
537	1427	9186
538	1429	9181
539	1431	9172
540	1434	9169
541	1436	9164
542	1441	9177
543	1446	9187
544	1450	9196
545	1457	9220
546	1461	9228
547	1464	9226
548	1466	9220
549	1470	9223
550	1473	9221
551	1474	9212
552	1480	9227
553	1482	9221
554	1486	9226
555	1488	9222
556	1492	9222
557	1494	9215
558	1496	9213
559	1504	9243
560	1509	9254
561	1512	9251
562	1514	9248
563	1517	9243
564	1520	9246
565	1523	9241
566	1527	9250
567	1529	9242
568	1531	9236
569	1535	9237
570	1537	9234
571	1539	9225
572	1541	9219
573	1544	9216
574	1546	9212
575	1549	9210
576	1552	9209
577	1555	9208
578	1557	9204
579	1560	9200
580	1562	9196
581	1564	9188
582	1569	9196
583	1571	9189
584	1573	9183
585	1577	9189
586	1582	9199
587	1583	9189
588	1588	9196
589	1591	9195
590	1591	9182
591	1592	9170
592	1595	9168
593	1600	9174
594	1602	9172
595	1606	9175
596	1610	9177
597	1614	9182
598	1617	9184
599	1620	9181
600	1624	9187
601	1628	9194
602	1632	9196
603	1634	9189
604	1637	9189
605	1640	9190
606	1645	9195
607	1650	9206
608	1653	9205
609	1657	9209
610	1660	9212
611	1664	9212
612	1668	9221
613	1671	9218
614	1675	9221
615	1680	9231
616	1683	9230
617	1686	9228
618	1689	9226
619	1692	9225
620	1696	9232
621	1700	9234
622	1702	9229
623	1705	9228
624	1708	9225
625	1712	9227
626	1713	9219
627	1716	9215
628	1719	9213
629	1719	9199
630	1722	9194
631	1726	9202
632	1729	9201
633	1732	9197
634	1734	9192
635	1737	9190
636	1740	9189
637	1743	9188
638	1746	9186
639	1749	9184
640	1752	9183
641	1755	9180
642	1758	9180
643	1760	9174
644	1762	9169
645	1764	9161
646	1766	9156
647	1769	9152
648	1771	9148
649	1774	9146
650	1779	9153
651	1782	9155
652	1786	9155
653	1788	9152
654	1791	9149
655	1794	9147
656	1796	9142
657	1799	9139
658	1800	9127
659	1803	9128
660	1810	9144
661	1814	9151
662	1817	9149
663	1820	9148
664	1824	9148
665	1829	9159
666	1832	9155
667	1834	9148
668	1836	9145
669	1837	9133
670	1839	9127
671	1842	9125
672	1845	9121
673	1847	9114
674	1849	9109
675	1850	9099
676	1851	9089
677	1854	9086
678	1862	9111
679	1867	9116
680	1870	9115
681	1875	9123
682	1876	9114
683	1881	9121
684	1885	9124
685	1889	9126
686	1891	9121
687	1893	9115
688	1897	9119
689	1902	9128
690	1908	9136
691	1910	9132
692	1915	9142
693	1918	9139
694	1923	9146
695	1925	9140
696	1928	9141
697	1932	9141
698	1933	9130
699	1955	9220
700	1957	9213
701	1959	9206
702	1961	9200
703	1963	9191
704	1965	9188
705	1969	9189
706	1976	9206
707	1979	9201
708	1981	9198
709	1989	9217
710	1994	9227
711	1998	9230
712	2002	9233
713	2005	9229
714	2007	9223
715	2010	9222
716	2013	9220
717	2018	9227
718	2020	9221
719	2023	9216
720	2025	9210
721	2027	9203
722	2034	9221
723	2038	9223
724	2040	9216
725	2041	9206
726	2043	9198
727	2044	9189
728	2047	9186
729	2050	9185
730	2057	9199
731	2059	9194
732	2065	9206
733	2071	9215
734	2076	9224
735	2078	9219
736	2083	9222
737	2087	9228
738	2092	9235
739	2095	9230
740	2097	9226
741	2101	9226
742	2103	9221
743	2106	9216
744	2108	9211
745	2109	9201
746	2112	9198
747	2115	9196
748	2118	9195
749	2123	9199
750	2127	9205
751	2131	9206
752	2135	9210
753	2140	9215
754	2143	9212
755	2144	9200
756	2145	9193
757	2154	9213
758	2158	9218
759	2161	9212
760	2165	9218
761	2169	9218
762	2174	9225
763	2177	9223
764	2184	9236
765	2189	9242
766	2194	9248
767	2198	9253
